event_id,event_description,start_tstamp,confirmed_tstamp,created_tstamp,closed_tstamp,event_type,event_subtype,location,latitude,longitude,number_of_responders,lanes_affected
MDOT_CHART_d0ff90e7003c0099003f16e83d035daa,Incident @ I-695 @ EXIT 2 MD10 L/LN,,2003-10-24 10:49:15-04,2003-10-24 10:53:36-04,2003-10-24 13:35:28-04,roadwork,road construction,I-695 @ EXIT 2 MD10 L/LN,38.9766059,-76.6217709,2.0,2.0
MDOT_CHART_7bff399902410099003f05e897035daa,Disabled Vehicle Event @ I-95 AT RT 4,,,2003-10-24 11:13:28-04,2003-10-25 00:27:23-04,accidentsAndIncidents,disabled vehicle,I-95 AT RT 4,38.9670445,-76.8654171,1.0,
MDOT_CHART_e1ff44ce005c009d003f06e89f035daa,"Incident @ I-95 @ I-195  R/S[Collision, Property Damage]",,2003-10-27 12:59:38-05,2003-10-27 12:57:38-05,2003-10-27 13:06:00-05,accidentsAndIncidents,accident,I-95 @ I-195  R/S,39.2345797,-76.7089,2.0,2.0
MDOT_CHART_27001a370064009d003f05e89f035daa,"Incident @ E/B I-70 EAST OF  I-6[Collision, Property Damage]",,,2003-10-27 13:28:26-05,2003-10-27 14:19:08-05,accidentsAndIncidents,accident,E/B I-70 EAST OF  I-695,39.3052736,-76.741292,3.0,
MDOT_CHART_24001c310065009d003f05e89f035daa,Incident @ I/L I-695 X-38[Other],,,2003-10-27 13:32:37-05,2003-10-27 13:53:36-05,accidentsAndIncidents,incident,I/L I-695 X-38,39.4246584,-76.444528,1.0,
MDOT_CHART_56001e610065009d003f05e89f035daa,Incident @ N/B I-97 AT MD 648[Other],,,2003-10-27 13:33:24-05,2003-10-27 14:02:29-05,accidentsAndIncidents,incident,N/B I-97 AT MD 648,38.9816391,-76.5739402,2.0,
MDOT_CHART_5b00394f0067009d003f07e897035daa,Incident @ I-495 AT MD 190[Other],,,2003-10-27 13:46:56-05,2003-10-27 14:37:42-05,accidentsAndIncidents,incident,I-495 AT MD 190,38.9891774,-77.1566836,3.0,2.0
MDOT_CHART_7a005a2f007e009d003f06e89f035daa,"Incident @ I-83  ( JFX )RAMP TO [Collision, Property Damage]",,2003-10-27 15:22:22-05,2003-10-27 15:20:19-05,2003-10-27 16:04:16-05,accidentsAndIncidents,accident,I-83  ( JFX )RAMP TO I-695  O/L,39.4274665,-76.6352942,3.0,
MDOT_CHART_81ff34400080009d003f8ce833035daa,"Incident @ MD 85 AT I-270[Collision, Personal Injury]",,,2003-10-27 15:29:37-05,2003-10-27 17:13:44-05,accidentsAndIncidents,accident,MD 85 AT I-270,39.3817108,-77.4087629,3.0,5.0
MDOT_CHART_b2ff5d610081009d003f06e89f035daa,Congestion Event @ MD 100 E.of I-97,,2003-10-27 15:35:36-05,2003-10-27 15:33:25-05,2003-10-27 16:04:49-05,trafficConditions,traffic congestion,MD 100 E.of I-97,39.1526322,-76.6451196,0.0,
MDOT_CHART_15fe9f8a0082009d003f05e897035daa,Congestion Event @ I-495 PRIO MD 650,,,2003-10-27 15:37:53-05,2003-10-27 19:33:38-05,trafficConditions,traffic congestion,I-495 PRIO MD 650,39.0176535,-76.9256716,0.0,
MDOT_CHART_0affa07d0083009d003f05e897035daa,Congestion Event @ I-495 INTO N VIRGINIA,,,2003-10-27 15:50:09-05,2003-10-27 18:48:42-05,trafficConditions,traffic congestion,I-495 INTO N VIRGINIA,39.0163451,-77.1072061,0.0,
MDOT_CHART_2bff3ade0086009d003f8ce833035daa,"Incident @ US 50 RAMP TO NB I-97[Collision, Personal Injury]",,,2003-10-27 15:56:45-05,2003-10-27 17:57:55-05,accidentsAndIncidents,accident,US 50 RAMP TO NB I-97,38.9526359,-76.686917,3.0,1.0
MDOT_CHART_cdfe3d9f0088009d003f04e897035daa,Action Event @ t @ MD 202 N/B AT B/W PARKWAY,,2003-10-27 16:01:43-05,2003-10-27 15:57:06-05,2003-10-27 17:31:19-05,accidentsAndIncidents,incident,MD 202 N/B AT B/W PARKWAY,38.8884857,-76.8257417,2.0,
MDOT_CHART_46004e1f006c009e003f07e897035daa,Incident @ 3800 BLK OF MD 450 AT MD 3[Emergency Roadwork],,2003-10-28 08:17:23-05,2003-10-28 08:15:06-05,2003-10-29 00:48:12-05,roadwork,road construction,3800 BLK OF MD 450 AT MD 3,38.9850912,-76.7086782,1.0,
MDOT_CHART_e1ffc3360074009e003f06e89f035daa,"Incident @ I-695 PRIOR TO EXIT 1[Collision, Personal Injury]",,2003-10-28 08:51:21-05,2003-10-28 08:49:03-05,2003-10-28 22:32:23-05,accidentsAndIncidents,accident,I-695 PRIOR TO EXIT 18 MD 26,39.3478703,-76.7448737,4.0,1.0
MDOT_CHART_e000152d007b009e003f17e83d035daa,Incident @ I-95 PRIOR EXIT 64 - L/LN M64[Emergency Roadwork],,2003-10-28 09:21:43-05,2003-10-28 09:33:44-05,2003-10-29 00:16:01-05,accidentsAndIncidents,incident,I-95 PRIOR EXIT 64 - L/LN M64.5-64.0,39.3556279,-76.4872524,0.0,2.0
MDOT_CHART_f2feab3e009f009e003f04e897035daa,Incident @ I-95  ON WW BRIDGE[Disabled In Roadway],,,2003-10-28 11:46:12-05,2003-10-29 00:52:23-05,accidentsAndIncidents,disabled vehicle,I-95  ON WW BRIDGE,38.9208887,-76.8530694,1.0,0.0
MDOT_CHART_47ffeb49009f009e003f06e89f035daa,Incident @ MD 702 AT OLD EASTERN AVE[Debris In Roadway],,2003-10-28 11:55:23-05,2003-10-28 11:53:06-05,2003-10-28 12:03:47-05,obstruction,debris on roadway,MD 702 AT OLD EASTERN AVE,39.3177507,-76.4611397,2.0,
MDOT_CHART_80febb9800c3009e003f04e897035daa,"Incident @ MD 97 E/B AT MD 28 NO[Collision, Property Damage]",,2003-10-28 14:27:34-05,2003-10-28 14:27:34-05,2003-10-28 16:14:24-05,accidentsAndIncidents,accident,MD 97 E/B AT MD 28 NORBEK,39.0141645,-77.0539551,3.0,1.0
MDOT_CHART_90fffd4d00d2009e003f06e89f035daa,Incident @ I-695 RAMP TO EXIT 17[Debris In Roadway],,2003-10-28 15:33:18-05,2003-10-28 15:31:12-05,2003-10-28 18:06:23-05,obstruction,debris on roadway,I-695 RAMP TO EXIT 17,39.2851321,-76.7386197,11.0,1.0
MDOT_CHART_d2fec185011e00a1003f04e897035daa,"Incident @ I-495 - MD 190 + MD 1[Collision, Personal Injury]",,,2003-10-30 09:12:46-05,2003-10-30 22:42:23-05,accidentsAndIncidents,accident,I-495 - MD 190 + MD 187,38.9901446,-77.1565158,6.0,
MDOT_CHART_ae004427001e00a1003f16e83d035daa,Congestion Event @ U.S. 50 BAY BRIDGE[Collision,,2003-10-30 08:56:54-05,2003-10-30 09:23:26-05,2003-10-30 22:46:01-05,trafficConditions,traffic congestion,AOC/CALLED MORGAN,38.943014,-76.7720078,0.0,
MDOT_CHART_f4ff6ef5002300a1003f05e897035daa,Disabled Vehicle Event @ I-95 PAST WW BRIDGE,,2003-10-30 09:45:33-05,2003-10-30 09:43:17-05,2003-10-30 23:07:23-05,accidentsAndIncidents,disabled vehicle,I-95 PAST WW BRIDGE,38.9335132,-76.8491883,1.0,
MDOT_CHART_d7feb589002b00a1003f05e897035daa,Congestion Event @ t @ WW BRIDGE OPENING,,2003-10-30 10:01:13-05,2003-10-30 10:15:21-05,2003-10-31 00:27:23-05,trafficConditions,traffic congestion,WW BRIDGE OPENING,38.7927165,-77.037608,0.0,
MDOT_CHART_47006737003200a1003f06e89f035daa,Disabled Vehicle Event @ MD 295 PRIOR TO I-695,,2003-10-30 10:46:29-05,2003-10-30 10:44:10-05,2003-10-31 00:07:23-05,accidentsAndIncidents,disabled vehicle,MD 295 PRIOR TO I-695,39.2200485,-76.655697,1.0,
MDOT_CHART_28ffc585007000a1003f05e897035daa,Congestion Event @ I-495 IN MONTGOMERY COUNTY,,2003-10-30 15:12:16-05,2003-10-30 15:10:03-05,2003-10-30 19:21:39-05,trafficConditions,traffic congestion,I-495 IN MONTGOMERY COUNTY,39.0130836,-77.1233754,0.0,
MDOT_CHART_feff2be6007700a1003f05e89f035daa,Disabled Vehicle Event @ I-695 PRIOR EX 12 WILKENS AVE R/SH,,2003-10-30 15:43:40-05,2003-10-30 15:41:21-05,2003-10-30 15:56:57-05,accidentsAndIncidents,disabled vehicle,I-695 PRIOR EX 12 WILKENS AVE R/SH,39.2817729,-76.7293067,1.0,
MDOT_CHART_1a0044e6007a00a1003f05e89f035daa,Congestion Event @ I-695 WEST SIDE I/L,,2003-10-30 15:56:26-05,2003-10-30 15:54:12-05,2003-10-30 18:36:22-05,trafficConditions,traffic congestion,I-695 WEST SIDE I/L,39.4133891,-76.6575822,0.0,
MDOT_CHART_5b004525007b00a1003f05e89f035daa,Congestion Event @ I-695 WEST SIDE O/L,,2003-10-30 15:57:50-05,2003-10-30 15:55:32-05,2003-10-30 18:26:04-05,trafficConditions,traffic congestion,I-695 WEST SIDE O/L,39.4121551,-76.602828,0.0,
MDOT_CHART_a500466e007b00a1003f05e89f035daa,Congestion Event @ I-695 TOWSON AREA,,2003-10-30 15:59:31-05,2003-10-30 15:57:13-05,2003-10-30 18:36:12-05,trafficConditions,traffic congestion,I-695 TOWSON AREA,39.4186158,-76.6301743,0.0,
MDOT_CHART_44ffcf8c007b00a1003f05e897035daa,"Incident @ MD 3 NORTH OF US 50[Collision, Personal Injury]",,2003-10-30 16:00:03-05,2003-10-30 15:57:59-05,2003-10-30 17:42:21-05,accidentsAndIncidents,accident,MD 3 NORTH OF US 50,38.9652379,-76.7164076,6.0,1.0
MDOT_CHART_aefef7c7018200a1003f04e897035daa,Disabled Vehicle Event @ I/L AT CLARA BARTON[Disabled In Roa,,2003-10-30 16:20:14-05,2003-10-30 16:20:14-05,2003-10-30 16:58:36-05,accidentsAndIncidents,disabled vehicle,I-495 I/L AT CLARA BARTON,39.1317121,-77.2074365,2.0,
MDOT_CHART_b3ff575f008700a1003f05e89f035daa,"Incident @ I-695 EX 27 DULANEY V[Collision, Personal Injury]",,2003-10-30 16:50:10-05,2003-10-30 16:47:53-05,2003-10-30 17:11:41-05,accidentsAndIncidents,accident,I-695 EX 27 DULANEY VALLEY,39.4167104,-76.6287946,5.0,3.0
MDOT_CHART_28ff60ac008a00a1003f8de833035daa,Action Event @ MD 26 @ RT 133 (@ I-HOP),,2003-10-30 17:04:09-05,2003-10-30 17:04:50-05,2003-10-30 18:05:36-05,accidentsAndIncidents,incident,MD 26 @ RT 133 (@ I-HOP),39.369118,-76.8014536,1.0,
MDOT_CHART_f1fefafc018d00a1003f04e897035daa,Disabled Vehicle Event @ I-495 AT MD 190,,2003-10-30 17:10:02-05,2003-10-30 17:10:02-05,2003-10-30 17:17:41-05,accidentsAndIncidents,disabled vehicle,I-495 AT MD 190,39.0156296,-77.1064898,1.0,
MDOT_CHART_31fe8ba0008f00a1003f06e89f035daa,"Incident @ O/L I-695 AT BACK RIV[Collision, Property Damage]",,,2003-10-30 17:22:35-05,2003-10-30 17:53:29-05,accidentsAndIncidents,accident,O/L I-695 AT BACK RIVER BRG.,39.4067399,-76.5727426,3.0,2.0
MDOT_CHART_84ff631b009000a1003f05e89f035daa,Disabled Vehicle Event @ MD 295 S OF I-695 R/SH,,2003-10-30 17:27:01-05,2003-10-30 17:24:43-05,2003-10-30 17:37:35-05,accidentsAndIncidents,disabled vehicle,MD 295 S OF I-695 R/SH,39.2165723,-76.6575751,1.0,
MDOT_CHART_eafed912009100a1003f05e897035daa,Congestion Event @ I-95 IN PG COUNTY,,2003-10-30 17:30:57-05,2003-10-30 17:28:42-05,2003-10-30 18:51:55-05,trafficConditions,traffic congestion,I-95 IN PG COUNTY,38.9059139,-76.8480661,0.0,
MDOT_CHART_25fffd27019300a1003f04e897035daa,"Incident @ I-270 S/B PRIOR MD 92[Collision, Property Damage]",,2003-10-30 17:30:40-05,2003-10-30 17:30:40-05,2003-10-30 17:33:08-05,accidentsAndIncidents,accident,I-270 S/B PRIOR MD 927,39.0556548,-77.1533326,3.0,1.0
MDOT_CHART_e9fe19ce029300a1003f04e897035daa,Disabled Vehicle Event @ S/B PRIOR MD 92[Collision,,2003-10-30 17:30:40-05,2003-10-30 17:32:53-05,2003-10-30 17:40:06-05,accidentsAndIncidents,disabled vehicle,BEVERLY,39.0451139,-77.1480172,3.0,
MDOT_CHART_c9ff49cc004500a2003f05e897035daa,Congestion Event @ I-495 PRIOR TO MD 650,,2003-10-31 06:22:23-05,2003-10-31 06:20:06-05,2003-10-31 22:42:23-05,trafficConditions,traffic congestion,I-495 PRIOR TO MD 650,39.0181181,-76.9757809,0.0,
MDOT_CHART_5f00569d004600a2003f16e83d035daa,"Incident @ NEW JERSEY TURNPIKE C[Collision, Personal Injury]",,2003-10-31 06:27:06-05,2003-10-31 06:30:23-05,2003-11-01 01:26:01-05,accidentsAndIncidents,accident,NEW JERSEY TURNPIKE CLOSED PRIOR TO EXIT 3,38.969377,-76.870932,1.0,10.0
MDOT_CHART_fdff40d9006c00a2003f06e89f035daa,Disabled Vehicle Event @ MD 295 PRIOR TO WALKOVER BRIDGE,,2003-10-31 09:08:53-05,2003-10-31 09:06:34-05,2003-10-31 22:27:23-05,accidentsAndIncidents,disabled vehicle,MD 295 PRIOR TO WALKOVER BRIDGE,39.1707821,-76.7258559,1.0,
MDOT_CHART_8300425b006e00a2003f06e89f035daa,"Incident @ I-70 PRIOR TO PATAPSC[Collision, Property Damage]",,2003-10-31 09:16:01-05,2003-10-31 09:13:41-05,2003-10-31 22:17:23-05,accidentsAndIncidents,accident,I-70 PRIOR TO PATAPSCO BRIDGE,39.2939034,-76.8475566,3.0,1.0
MDOT_CHART_23ff9aab006f00a2003f05e897035daa,Incident @ I-95 ON WW BRIDGE[Disabled In Roadway],,2003-10-31 09:20:38-05,2003-10-31 09:18:20-05,2003-10-31 22:52:23-05,accidentsAndIncidents,disabled vehicle,I-95 ON WW BRIDGE,39.0127016,-76.9075102,5.0,1.0
MDOT_CHART_b9005e79027200a2003f04e897035daa,Incident @ I-495 O/L PRIOR MD 185,,2003-10-31 09:43:42-05,2003-10-31 09:23:52-05,2003-10-31 22:52:23-05,accidentsAndIncidents,accident,I-495 O/L PRIOR MD 185,39.0064999,-77.0727625,4.0,1.0
MDOT_CHART_e6ffa15a007c00a2003f05e897035daa,Disabled Vehicle Event @ I-95 BTWN MD 4 AND MD 337,,2003-10-31 10:15:20-05,2003-10-31 10:13:02-05,2003-10-31 23:27:23-05,accidentsAndIncidents,disabled vehicle,I-95 BTWN MD 4 AND MD 337,38.8397033,-76.8667072,2.0,
MDOT_CHART_f6fe51ad008000a2003f06e89f035daa,"Incident @ I-695 PRIOR TO EXIT 2[Collision, Property Damage]",,2003-10-31 10:33:32-05,2003-10-31 10:31:12-05,2003-10-31 23:47:23-05,accidentsAndIncidents,accident,I-695 PRIOR TO EXIT 24 I -83 NORTH,39.4095294,-76.6637189,4.0,1.0
MDOT_CHART_06ff55b8008100a2003f06e89f035daa,Incident @ I-695 RAMP TO EXIT 20 MD 140[Debris In Roadway],,2003-10-31 10:38:26-05,2003-10-31 10:36:07-05,2003-11-01 00:07:23-05,obstruction,debris on roadway,I-695 RAMP TO EXIT 20 MD 140,39.3845875,-76.7350758,1.0,
MDOT_CHART_bafea421008600a2003f05e897035daa,Incident @ I-495 AT RIGGS RD[Disabled In Roadway],,2003-10-31 10:56:35-05,2003-10-31 10:54:22-05,2003-11-01 00:02:23-05,accidentsAndIncidents,disabled vehicle,I-495 AT RIGGS RD,39.0188225,-76.9636396,3.0,0.0
MDOT_CHART_60fea8c2008700a2003f05e897035daa,Disabled Vehicle Event @ I-495 PRIOR TO RIGGS RD,,2003-10-31 11:03:38-05,2003-10-31 11:01:20-05,2003-11-01 00:17:23-05,accidentsAndIncidents,disabled vehicle,I-495 PRIOR TO RIGGS RD,38.9887936,-76.7922518,2.0,
MDOT_CHART_11ff73a2028c00a2003f04e897035daa,Incident @ US 50 AT MD 704[Debris In Roadway],,,2003-10-31 11:14:46-05,2003-11-01 01:02:23-05,obstruction,debris on roadway,US 50 AT MD 704,38.9464389,-76.8432007,1.0,0.0
MDOT_CHART_4cff76da028c00a2003f04e897035daa,Incident @ US 50 W/B RAMP TO I-95 SOUTH[Debris In Roadway],,,2003-10-31 11:15:47-05,2003-11-01 01:02:23-05,obstruction,debris on roadway,US 50 W/B RAMP TO I-95 SOUTH,38.9444425,-76.8573915,1.0,0.0
MDOT_CHART_bffe891102b500a2003f04e897035daa,Incident @ I-270 PRIOR MONTROSE RD[Other],,,2003-10-31 14:08:05-05,2003-10-31 14:35:21-05,accidentsAndIncidents,incident,I-270 PRIOR MONTROSE RD,39.0534536,-77.1532534,7.0,1.0
MDOT_CHART_a4fe93e302be00a2003f04e897035daa,Congestion Event @ I-495 PRIOR MD 650,,,2003-10-31 14:48:55-05,2003-10-31 15:03:31-05,trafficConditions,traffic congestion,I-495 PRIOR MD 650,39.0174066,-76.975078,0.0,
MDOT_CHART_30ffc53f00bd00a2003f05e897035daa,Congestion Event @ I-95 SOUTH INTO VA,,2003-10-31 14:49:27-05,2003-10-31 14:49:27-05,2003-10-31 15:01:03-05,trafficConditions,traffic congestion,I-95 SOUTH INTO VA,38.7874965,-77.0333887,0.0,
MDOT_CHART_61ff1d0f00be00a2003f05e89f035daa,Incident @ O/L I-695 PRIOR X-23[Debris In Roadway],,,2003-10-31 14:52:52-05,2003-10-31 15:07:37-05,obstruction,debris on roadway,O/L I-695 PRIOR X-23,39.3918001,-76.7065124,2.0,1.0
MDOT_CHART_08ff993602c900a2003f04e897035daa,"Incident @ I-270 N OF MD 117[Collision, Property Damage]",,,2003-10-31 15:32:59-05,2003-10-31 15:56:35-05,accidentsAndIncidents,accident,I-270 N OF MD 117,39.1390908,-77.2112905,4.0,3.0
MDOT_CHART_dbfebbe401be00a7003f06e89f035daa,"Incident @ I-695 PRIOR TO EXIT 1[Collision, Personal Injury]",,2003-11-04 10:00:32-05,2003-11-04 09:58:12-05,2003-11-04 13:49:06-05,accidentsAndIncidents,accident,I-695 PRIOR TO EXIT 16  I-70,39.2859492,-76.7352659,18.0,3.0
MDOT_CHART_c6fe068500c800a7003f04e897035daa,"Incident @ US 29 N/B AT STEWART [Collision, Personal Injury]",,2003-11-04 10:41:23-05,2003-11-04 10:39:07-05,2003-11-04 13:48:23-05,accidentsAndIncidents,incident,US 29 N/B AT STEWART LN,39.0481747,-76.978289,14.0,2.0
MDOT_CHART_bcff116e00ca00a7003f04e897035daa,Incident @ I-95 SOUTH OF M 214[Debris In Roadway],,,2003-11-04 10:52:30-05,2003-11-05 00:07:23-05,obstruction,debris on roadway,I-95 SOUTH OF M 214,38.936894,-76.8526462,1.0,0.0
MDOT_CHART_d1ff5bff020000a8003f05e897035daa,"Incident @ I-95 AT RICHIE MARLBO[Collision, Personal Injury]",,2003-11-04 14:42:49-05,2003-11-04 14:40:26-05,2003-11-04 15:07:12-05,accidentsAndIncidents,accident,I-95 AT RICHIE MARLBORO,38.8680045,-76.8431554,7.0,3.0
MDOT_CHART_22ffd9c7000500a8003f05e89f035daa,"Incident @ I/L I-695 PRIOR X-31[Collision, Property Damage]",,,2003-11-04 15:00:20-05,2003-11-04 16:59:04-05,accidentsAndIncidents,accident,I/L I-695 PRIOR X-31,39.3962826,-76.548327,7.0,3.0
MDOT_CHART_f6ff211e013900a8003f05e89f035daa,Disabled Vehicle Event @ O/L I-695 X-22,,,2003-11-04 18:39:24-05,2003-11-04 18:40:36-05,accidentsAndIncidents,disabled vehicle,O/L I-695 X-22,39.3947873,-76.6936183,1.0,
MDOT_CHART_62ff2388013900a8003f05e89f035daa,"Incident @ HARFORD RD, NORTH OF [Collision, Personal Injury]",,,2003-11-04 18:41:19-05,2003-11-04 18:48:51-05,accidentsAndIncidents,accident,"HARFORD RD, NORTH OF I-695",39.3930722,-76.5255168,4.0,4.0
MDOT_CHART_d9ff5bbc014400a8003f05e89f035daa,"Incident @ I/L I-695 PRIOR X-18[Collision, Personal Injury]",,,2003-11-04 19:28:45-05,2003-11-04 21:55:00-05,accidentsAndIncidents,accident,I/L I-695 PRIOR X-18,39.3481185,-76.7450347,8.0,3.0
MDOT_CHART_1dff11ae00e000a8003f06e89f035daa,"Incident @ I-695 PRIOR TO EXIT 1[Collision, Property Damage]",,2003-11-05 06:36:39-05,2003-11-05 06:34:16-05,2003-11-05 19:42:23-05,accidentsAndIncidents,accident,I-695 PRIOR TO EXIT 14 EDMONDSON AVE,39.3049107,-76.7437798,2.0,1.0
MDOT_CHART_9fff1bfd00ec00a8003f8fe833035daa,"Incident @ MD 2 @ PIKES RIDGE[Collision, Personal Injury]",,2003-11-05 07:26:38-05,2003-11-05 07:26:37-05,2003-11-06 00:12:23-05,accidentsAndIncidents,incident,MD 2 @ PIKES RIDGE,38.9338692,-76.567506,1.0,6.0
MDOT_CHART_2c00147e000000a9003f8de833035daa,"Incident @ I-70 PRIOR EXIT 73, M[Collision, Personal Injury]",,2003-11-05 09:08:14-05,2003-11-05 08:49:58-05,2003-11-06 00:27:23-05,accidentsAndIncidents,accident,"I-70 PRIOR EXIT 73, MD 94-WOODBINE RD",39.3413025,-77.0693309,14.0,10.0
MDOT_CHART_fcff4924001000a9003f06e89f035daa,Incident @ I-695  EXIT 33 I-95 SOUTH[Disabled In Roadway],,2003-11-05 09:59:16-05,2003-11-05 09:56:53-05,2003-11-05 23:27:23-05,accidentsAndIncidents,disabled vehicle,I-695  EXIT 33 I-95 SOUTH,39.3521215,-76.4966961,2.0,1.0
MDOT_CHART_1c002038004e00a9003f05e897035daa,Incident @ US 1 PRIOR TO MD 212[Emergency Roadwork],,2003-11-05 14:23:59-05,2003-11-05 14:21:41-05,2003-11-05 20:08:51-05,roadwork,road construction,US 1 PRIOR TO MD 212,39.0345117,-76.9081727,5.0,2.0
MDOT_CHART_f4ff08eb006800a9003f8ce833035daa,"Incident @ I-70 @ MM 68[Collision, Personal Injury]",,2003-11-05 16:18:41-05,2003-11-05 16:16:17-05,2003-11-05 18:13:09-05,accidentsAndIncidents,accident,I-70 @ MM 68,39.3591766,-77.1706608,2.0,3.0
MDOT_CHART_cbff4c9f006a00a9003f05e897035daa,Incident @ MD 28 AT PEACH TREE[Debris In Roadway],,2003-11-05 16:25:28-05,2003-11-05 16:23:09-05,2003-11-05 18:24:43-05,obstruction,debris on roadway,MD 28 AT PEACH TREE,39.1613248,-77.3855425,2.0,0.0
